period_start,period_end,closes,payday,status,note_en,note_es
2026-08-18,2026-08-31,2026-08-31,2026-09-04,confirmed,,
2026-09-01,2026-09-14,2026-09-14,2026-09-18,confirmed,,
2026-09-15,2026-09-28,2026-09-28,2026-10-02,confirmed,,
2026-09-29,2026-10-12,2026-10-12,2026-10-16,confirmed,,
2026-10-13,2026-10-26,2026-10-26,2026-10-30,confirmed,,
2026-10-27,2026-11-09,2026-11-09,2026-11-13,confirmed,,
2026-11-10,2026-11-23,2026-11-23,2026-11-27,confirmed,,
2026-11-24,2026-12-07,2026-12-07,2026-12-11,confirmed,,
2026-12-08,2026-12-21,2026-12-21,2026-12-24,confirmed,Paid one day early for Christmas.,Se paga un día antes por Navidad.
2026-12-22,2027-01-04,2027-01-04,2027-01-08,confirmed,,
2027-01-05,2027-01-18,2027-01-18,2027-01-22,confirmed,,
2027-01-19,2027-02-01,2027-02-01,2027-02-05,confirmed,,
2027-02-02,2027-02-15,2027-02-15,2027-02-19,confirmed,,
2027-02-16,2027-03-01,2027-03-01,2027-03-05,confirmed,,
2027-03-02,2027-03-15,2027-03-15,2027-03-19,confirmed,,
2027-03-16,2027-03-29,2027-03-29,2027-04-02,confirmed,,
2027-03-30,2027-04-12,2027-04-12,2027-04-16,confirmed,,
2027-04-13,2027-04-26,2027-04-26,2027-04-30,confirmed,,
2027-04-27,2027-05-10,2027-05-10,2027-05-14,confirmed,,
2027-05-11,2027-05-24,2027-05-24,2027-05-28,confirmed,,
2027-05-25,2027-06-07,2027-06-07,2027-06-11,confirmed,,
2027-06-08,2027-06-21,2027-06-21,2027-06-25,confirmed,,
2027-06-22,2027-07-05,2027-07-05,2027-07-09,confirmed,,
2027-07-06,2027-07-19,2027-07-19,2027-07-23,confirmed,,
2027-07-20,2027-08-02,2027-08-02,2027-08-06,confirmed,,
2027-08-03,2027-08-16,2027-08-16,2027-08-20,confirmed,,
2027-08-17,2027-08-30,2027-08-30,2027-09-03,confirmed,,
2027-08-31,2027-09-13,2027-09-13,2027-09-17,confirmed,,
2027-09-14,2027-09-27,2027-09-27,2027-10-01,confirmed,,
2027-09-28,2027-10-11,2027-10-11,2027-10-15,confirmed,,
2027-10-12,2027-10-25,2027-10-25,2027-10-29,confirmed,,
2027-10-26,2027-11-08,2027-11-08,2027-11-12,confirmed,,
2027-11-09,2027-11-22,2027-11-22,2027-11-26,confirmed,,
2027-11-23,2027-12-06,2027-12-06,2027-12-10,confirmed,,
2027-12-07,2027-12-20,2027-12-20,2027-12-24,confirmed,,
